VRTX
REGN
AMGN
GILD
IQV
BIIB
MRNA
MTD
ILMN
ALNY
WAT
ARGX
BNTX
BMRN
GMAB
NBIX
INCY
SRPT
CRL
TECH
RGEN
KRTX
BGNE
UTHR
IMGN
LEGN
MEDP
NTRA
CYTK
IONS
ITCI
APLS
BRKR
PCVX
EXEL
ASND
ROIV
CRSP
HALO
TXG
BPMC
ALKS
RVMD
ACAD
BBIO
INSM
FOLD
AXSM
XENE
RARE
BHVN
ARWR
IDYA
CBAY
SWTX
KRYS
IMCR
MDGL
RYTM
NTLA
RCKT
NUVL
FTRE
ARVN
IRWD
OLK
CRNX
VCEL
ACLX
IMVT
TWST
DNLI
BEAM
MOR
GLPG
PTCT
VCYT
MYGN
IOVA
DNA
MRUS
SNDX
PACB
DVAX
KYMR
GRFS
RXRX
MORF
GPCR
NVCR
PTGX
ZLAB
PRTA
KURA
AGIO
AMAM
INBX
LGND
KROS
SAGE
STVN
ADMA
XNCR
MGNX
BCRX
VERA
ALPN
AUPH
ABCL
FDMT
EWTX
CTKB
ARCT
MNKD
AKRO
RNA
MIRM
CABA
GERN
PLRX
DAWN
QTRX
VIR
APGE
SRRK
AMLX
RLAY
ETNB
ZYME
RAPT
RCUS
OLMA
ZNTL
VRNA
DYN
TARS
DCPH
IRON
KNSA
RGNX
AUTL
TNGX
SANA
VERV
MRVI
CSTL
TVTX
EDIT
FUSN
ANAB
EXAI
BMEA
ADPT
GRCL
MRNS
SLRN
ICVX
CRBU
URGN
FLGT
CGEM
TRML
FULC
ALLO
SMMT
BCYC
AVXL
CMPS
CDNA
COGT
MXCT
YMAB
OPK
RVNC
NVAX
ARQT
ALEC
TBPH
ORIC
NRIX
ALXO
WVE
SVRA
REPL
ABUS
CVAC
LIAN
AVIR
CNTA
KALV
ELVN
MGTX
ITOS
JANX
SPRY
MLYS
VYGR
TERN
NUVB
CHRS
HUMA
QURE
VNDA
PRME
OVID
LYEL
NBTX
ATAI
IMMP
BLUE
PHAT
TSHA
PGEN
ERAS
ACIU
NAUT
THRD
VTYX
USD
ACRS
RPHM
